t,G,C1,C1_next,C2,C2_next,f_e,x1,f_c,x2,L_out,L_target,shed
10.75,6.956192854956395,0.5405587625579564,0.23595385987355,1.385336537790859,0.9629476501744078,6.956192854956395,0.0,1.2184196107376257,2.8836067689886784,9.0,9.0,0.0
11.0,7.499999999999998,0.23595385987355,0.0026800149679720164,0.9629476501744078,0.5994507550239789,7.499999999999998,0.0,0.9330953796223119,2.368421052631581,9.0,9.0,0.0
11.25,8.086582838174548,0.0026800149679720164,0.0,0.5994507550239789,0.14889942083919516,8.086582838174548,0.0,0.010720059871888066,1.8127109954135854,9.0,9.0,0.0
11.5,8.705904774487392,0.0,0.0,0.14889942083919516,0.0,8.705904774487392,0.0,0.0,0.5955976833567806,8.401132096227593,9.0,0.5988679037724065
11.75,9.347369038899737,0.0,0.0,0.0,0.0,9.347369038899737,0.0,0.0,0.0,8.412632135009764,9.0,0.5873678649902363
12.0,9.999999999999998,0.0,0.0,0.0,0.0,9.999999999999998,0.0,0.0,0.0,8.999999999999998,9.0,1.7763568394002505e-15
12.25,10.652630961100256,0.0,0.07591829547492769,0.0,0.07749992663065536,10.0,0.6526309611002556,0.3163262311455321,0.0,9.0,9.0,0.0
12.5,11.294095225512601,0.07591829547492769,0.22726285801196883,0.07749992663065536,0.23038291908241287,10.0,1.294095225512601,0.6240122140888062,0.0,9.0,9.0,0.0
12.75,11.913417161825446,0.22726285801196883,0.4514359059541351,0.23038291908241287,0.4560411765139626,10.0,1.9134171618254463,0.921054111965509,0.0,9.0,9.0,0.0
13.0,12.499999999999996,0.4514359059541351,0.7446018603213935,0.4560411765139626,0.7506135412340484,10.0,2.4999999999999964,1.2023361825309626,0.0,9.0,9.0,0.0
13.25,13.0438071450436,0.7446018603213935,1.1017445694961872,0.7506135412340484,1.1090597992516484,10.0,3.0438071450435995,1.463045951092245,0.0,9.0,9.0,0.0
13.5,13.535533905932734,1.1017445694961872,1.516753222714618,1.1090597992516484,1.52524683570343,10.0,3.535533905932734,1.6987225977623732,0.0,9.0,9.0,0.0
13.75,13.966766701456175,1.516753222714618,1.9825269068578932,1.52524683570343,1.9920535750069448,10.0,3.9667667014561747,1.905333629810265,0.0,9.0,9.0,0.0
14.0,14.330127018922191,1.9825269068578932,2.49109610505346,1.9920535750069448,2.5014928244294294,10.0,4.330127018922191,2.079343875193815,0.0,9.0,9.0,0.0
14.25,14.619397662556432,2.49109610505346,3.0337590573181723,2.5014928244294294,3.044847937170021,10.0,4.619397662556432,2.2177759703697615,0.0,9.0,9.0,0.0
14.5,14.82962913144534,3.0337590573181723,3.6012306500841853,3.044847937170021,3.612821956603231,10.0,4.829629131445341,2.318261303809021,0.0,9.0,9.0,0.0
14.75,14.957224306869051,3.6012306500841853,4.183801287066425,3.612821956603231,4.195696689784408,10.0,4.957224306869051,2.3790805435966407,0.0,9.0,9.0,0.0
15.0,15.0,4.183801287066425,4.771503023147029,4.195696689784408,4.783498988425416,10.0,5.0,2.3991930556775833,0.0,9.0,9.0,0.0
15.25,14.957224306869053,4.771503023147029,5.354280118679953,4.783498988425416,5.3661713922269225,10.0,4.957224306869053,2.378254709393904,0.0,9.0,9.0,0.0
15.5,14.829629131445342,5.354280118679953,5.9221610959842925,5.3661713922269225,5.933744214812573,10.0,4.829629131445342,2.316623765655716,0.0,9.0,9.0,0.0
15.75,14.619397662556437,5.9221610959842925,6.465429354092021,5.933744214812573,6.47650612782701,10.0,4.6193976625564375,2.215354746997702,0.0,9.0,9.0,0.0
16.0,14.330127018922195,6.465429354092021,6.974789422484494,6.47650612782701,6.985170324456527,10.0,4.3301270189221945,2.0761803944061907,0.0,9.0,9.0,0.0
16.25,13.966766701456176,6.974789422484494,7.441526009170229,6.985170324456527,7.451033419268431,10.0,3.9667667014561765,1.9014820196404274,0.0,9.0,9.0,0.0
