supply_node_id,demand_cluster_id,flow,distance_km
0,4.0,2.8091898157806376,1319.3023628303183
0,9.0,4.961085191619873,543.0838224591979
0,12.0,7.7033376579895005,1434.515048643998
0,20.0,4.673177062927246,432.44182824080644
1,2.0,8.277207479003906,621.0105242667936
1,6.0,4.5031732181043616,1917.9106335626113
1,11.0,2.4904784167518654,921.999090747636
1,13.0,4.133499662919043,1739.132864153934
1,15.0,3.0851453775787334,1105.9914026249323
1,17.0,2.9832090044250488,1130.1356828227342
1,21.0,4.527286841217041,150.50087999897406
2,1.0,3.2963016387329103,20.66896522188067
2,10.0,3.6523324310302736,1042.306892842852
2,11.0,1.565910552986141,1252.6851499749187
2,19.0,2.676955160766602,753.7045094300869
3,5.0,4.321115117141723,576.3299078609392
3,16.0,3.5361895234680176,426.89198473727515
4,3.0,6.188593192169189,207.63711416892832
4,14.0,1.9783039837493863,1265.3504742618093
4,18.0,3.1479010576934816,749.4580036291075
4,23.0,1.6838553902435303,1136.5579260654897
5,4.0,1.5483864498291027,1142.4672019042134
5,8.0,2.1728147557373045,765.7944630388756
5,22.0,8.67785736769104,455.134822823568
5,24.0,3.8009414267425536,610.4214134601912
6,0.0,4.778927041384699,266.03136804244923
6,13.0,4.221072958615304,719.714208353378
7,0.0,1.4558487099523525,805.4850064741607
7,7.0,7.544151290047647,403.16968095046764
8,15.0,4.800000000000001,495.9359913693706
