node_id,node_type,x_m,y_m,x_km,y_km,x_km_shift,y_km_shift,total_supply,scaled_supply
0,wind,-360549.189,1367960.364,-360.549,1367.960,3337.751,1674.960,1.50,150
1,wind,205641.894,2113617.410,205.642,2113.617,3903.942,2420.617,0.50,50
2,wind,-634011.116,1912008.569,-634.011,1912.009,3064.289,2219.009,0.20,20
3,wind,-2151912.628,2412902.080,-2151.913,2412.902,1546.387,2719.902,0.15,15
4,solar,-2017662.280,1566773.034,-2017.662,1566.773,1680.638,1873.773,0.40,40
5,solar,-380742.690,888480.450,-380.743,888.480,3317.557,1195.480,0.27,27
6,solar,1520641.734,1519130.746,1520.642,1519.131,5218.942,1826.131,0.15,15
7,solar,1368873.544,704222.915,1368.874,704.223,5067.174,1011.223,0.15,15
8,solar,815272.358,2209760.070,815.272,2209.760,4513.572,2516.760,0.08,8
