cluster_id,x_m,y_m,x_km,y_km,x_km_shift,y_km_shift,total_demand,scaled_demand
0.000000000000000000e+00,1.465364027384367073e+06,9.424120029904139228e+05,1.465364027384367091e+03,9.424120029904139528e+02,1.580325308940755576e+03,-7.827687450942875103e+02,2.151093064949893951e+07,2.151093064949893829e+00
1.000000000000000000e+00,-9.063940852161468938e+05,2.692916433161913883e+06,-9.063940852161468911e+02,2.692916433161914028e+03,-7.914328036597584060e+02,9.677356850772125654e+02,1.759263478060150146e+07,1.759263478060150154e+00
2.000000000000000000e+00,1.325322530481880298e+06,2.257400941922638565e+06,1.325322530481880221e+03,2.257400941922638594e+03,1.440283812038268707e+03,5.322201938379371313e+02,3.624908054183101654e+07,3.624908054183101580e+00
3.000000000000000000e+00,-7.292969758689675655e+04,9.110573715676591964e+05,-7.292969758689675075e+01,9.110573715676591746e+02,4.203158396949172015e+01,-8.141233765170422885e+02,2.808625404583740234e+07,2.808625404583740437e+00
4.000000000000000000e+00,-1.791569132908539381e+06,1.284572677038599504e+06,-1.791569132908539359e+03,1.284572677038599522e+03,-1.676607851352150874e+03,-4.406080710461019407e+02,1.775534775852966309e+07,1.775534775852966263e+00
