supply_node_id,demand_cluster_id,flow,distance_km
1,0.0,0.9016835447330775,2063.334499772657
1,1.0,5.241072784805298,407.5525277147198
1,3.0,5.819922192025542,1719.4644602720298
1,5.0,0.32307832008522475,818.7867084322367
1,6.0,6.025703977140928,1642.9024153591188
1,8.0,0.2927388417766208,2442.977400649301
1,9.0,1.7284409286823443,573.799916786719
1,11.0,4.568953634868974,1129.6561415701558
1,13.0,3.800043915588379,658.5667877455754
1,14.0,4.172138072809471,442.8063510849159
1,18.0,0.521974499801459,2053.510475603824
1,19.0,4.789659325286868,1195.9527847431702
2,8.0,4.078933611924729,1715.2991689971097
2,10.0,5.397154295463478,523.3278212503265
2,15.0,3.2523821051465207,370.04408126531024
3,7.0,2.631828197125718,742.9715074981964
3,9.0,1.247847105588896,123.50156775756375
3,16.0,1.2117127022992769,752.1737650410498
4,4.0,2.9572292074829334,519.0657964456076
4,16.0,0.861311796277485,852.26312674773
5,2.0,6.492565733961227,340.1973823360355
5,12.0,3.241701362610236,368.2674504540021
5,16.0,0.4485089134563194,948.0686978314621
6,5.0,3.8568441397609146,568.3925515810638
6,17.0,3.016529667007841,360.537231194871
7,0.0,3.8185410037604193,247.4915389912476
8,18.0,3.8185410037604175,209.97211068764864
9,8.0,2.0365552020055553,1100.6824616629701
