supply_node_id,demand_cluster_id,flow,distance_km
1,1.0,5.241072784805298,407.5525277147198
1,6.0,4.366219480702805,1642.9024153591188
1,11.0,4.568953634868972,1129.6561415701558
1,13.0,3.800043915588379,658.5667877455754
1,14.0,0.5685901996634506,442.8063510849159
1,19.0,1.187570122122814,1195.9527847431702
2,3.0,5.819922192025542,1009.7468140055213
2,8.0,1.9284522042004042,1715.2991689971097
2,10.0,5.397154295463478,523.3278212503265
2,15.0,3.2523821051465207,370.04408126531024
2,19.0,3.602089203164052,755.9969615413056
3,7.0,2.631828197125718,742.9715074981964
3,9.0,2.9762880342712403,123.50156775756375
3,16.0,2.3918837686030416,752.1737650410498
4,4.0,2.9572292074829334,519.0657964456076
4,16.0,0.1296496434300396,852.26312674773
5,2.0,6.492565733961227,340.1973823360355
5,12.0,3.241701362610236,368.2674504540021
6,5.0,4.179922459846139,568.3925515810638
6,14.0,3.60354787314602,345.9843844383868
6,17.0,3.016529667007841,360.537231194871
7,0.0,4.720224548493497,247.4915389912476
7,8.0,1.2797754515064996,836.5556808767186
8,6.0,1.6594844964381252,559.7142295387565
8,18.0,4.3405155035618765,209.97211068764864
9,8.0,3.200000000000001,1100.6824616629701
