node_id,node_type,x_m,y_m,x_km,y_km,x_km_shift,y_km_shift,total_supply,scaled_supply
1,wind,-360549.189,1367960.364,-360.549189,1367.960364,2556.662194,1211.048866,150,150
2,wind,205641.894,2113617.41,205.641894,2113.61741,3122.853277,1956.705912,50,50
3,wind,-634011.116,1912008.569,-634.011116,1912.008569,2283.200267,1755.097071,20,20
4,wind,-2151912.628,2412902.08,-2151.912628,2412.90208,765.298755,2255.990582,15,15
5,solar,-2017662.28,1566773.034,-2017.66228,1566.773034,899.549103,1409.861536,40,40
6,solar,-380742.69,888480.45,-380.74269,888.48045,2536.468693,731.568952,27,27
7,solar,1520641.734,1519130.746,1520.641734,1519.130746,4437.853117,1362.219248,15,15
8,solar,1368873.544,704222.915,1368.873544,704.222915,4286.084927,547.311417,15,15
9,solar,815272.358,2209760.07,815.272358,2209.76007,3732.483741,2052.848572,8,8
