node_id,node_type,x_m,y_m,x_km,y_km,x_km_shift,y_km_shift,total_supply,scaled_supply
10,solar,-1367211.383,1106911.498,-1367.2113829999998,1106.911498,1550,950,2190.0,102.0
11,wind,-917211.3829999998,2156911.498,-917.2113829999998,2156.911498,2000,2000,35608754996.24113,71.0
12,wind,-417211.38299999986,2156911.498,-417.21138299999984,2156.911498,2500,2000,11668276837.168293,58.0
