cluster_id,x_m,y_m,x_km,y_km,x_km_shift,y_km_shift,total_demand,scaled_demand
0.0,1673614.9982276214,1713684.7040297582,1673.6149982276215,1713.6847040297582,4590.8263808200445,1556.7732056274388,4720224.548493497,88.5
1.0,-2891.7913317258644,1172562.6954516356,-2.8917913317258646,1172.5626954516356,2914.3195912606975,1015.6511970493162,5241072.784805298,98.3
2.0,-1728165.7013824903,1388094.5797609417,-1728.1657013824904,1388.0945797609415,1189.045681209933,1231.1830813586223,6492565.733961226,122.0
3.0,1213913.9437046093,2059063.7395756708,1213.9139437046092,2059.0637395756708,4131.125326297033,1902.1522411733513,5819922.192025542,109.0
4.0,-1830056.2491061736,2820133.9218236757,-1830.0562491061737,2820.133921823676,1087.15513348625,2663.2224234213563,2957229.207482934,55.4
5.0,168794.65009388037,743295.0345254767,168.79465009388036,743.2950345254768,3086.006032686304,586.3835361231575,4179922.4598461394,78.4
6.0,1278575.0829121144,1256605.2165305475,1278.5750829121143,1256.6052165305475,4195.786465504538,1099.693718128228,6025703.97714093,113.0
7.0,-586189.9193270087,2653439.479293381,-586.1899193270086,2653.439479293381,2331.0214632654142,2496.5279808910614,2631828.197125718,49.3
8.0,1914943.508110838,2256932.561567864,1914.943508110838,2256.932561567864,4832.154890703261,2100.0210631655445,6408227.655706905,120.0
9.0,-715255.3533841365,1818992.3822937324,-715.2553533841365,1818.9923822937324,2201.956029208287,1662.080883891413,2976288.03427124,55.8
10.0,723817.8853539976,2186868.013821735,723.8178853539976,2186.868013821735,3641.029267946421,2029.9565154194156,5397154.29546348,101.0
11.0,706356.8169565111,996699.5753189732,706.3568169565111,996.6995753189731,3623.5681995489344,839.7880769166537,4568953.634868972,85.7
12.0,-2104593.8409679784,1924633.0890335944,-2104.5938409679784,1924.6330890335944,812.6175416244449,1767.7215906312747,3241701.362610236,60.8
13.0,115991.99033529196,1822513.6821855137,115.99199033529194,1822.5136821855135,3033.203372927715,1665.602183783194,3800043.9155883794,71.3
14.0,-680288.5994171028,1061620.400103463,-680.2885994171028,1061.6204001034628,2236.9227831753205,904.7089017011436,4172138.0728094704,78.2
15.0,167480.62606554857,2481688.517225465,167.48062606554856,2481.6885172254647,3084.692008657972,2324.777018823145,3252382.105146521,61.0
16.0,-1323534.986432169,2212545.096896403,-1323.534986432169,2212.545096896403,1593.6763961602544,2055.6335984940833,2521533.4120330806,47.3
17.0,-167065.76759095147,598085.4296432838,-167.06576759095148,598.0854296432839,2750.145615001472,441.17393124096446,3016529.667007841,56.6
18.0,1532905.9551732743,573144.1013818244,1532.9059551732744,573.1441013818244,4450.117337765698,416.23260297950503,4340515.503561877,81.4
19.0,801937.860311495,1648899.7252359388,801.937860311495,1648.8997252359388,3719.1492429039185,1491.9882268336191,4789659.325286865,89.8
